destination,Western Europe,Eastern Europe,Southern Europe,Northern Europe,Scandinavia,Nordic countries,Mediterranean coast,The Balkans,Central Europe,Baltic States,French Riviera,Amalfi Coast,Alpine,Iberian Peninsula,Benelux,British Isles,Romantic,Historical,Luxury,Budget,Children,Scenic,Coastal,Mountainous,Urban,Countryside,Adventure,Cultural,Popular,Remote,Sunny,Snow,Relax,Traditional,Modern,Green,Skiing,Hiking,Wine,Cycling,Museum,Food,Beach,Photography,Shopping,Sailing,Spa,History,Snowboard,Club,Festival,Castle,Cruise,Camp,Art,Church,Market,Palace,Botanical Garden,Lake,Cathedral,Opera House,Ancient,Bridge,Old Town,Harbor,Monastery,Island,Waterfall,Canyon,Fjord,
Bordeaux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,2,1,0,0,0,0,0,4,1,0,0,21,2,12,1,0,0,3,0,0,11,0,0,4,0,0,0,3,8,0,0,0,1,4,0,1,17,1,0,0,2,0,0,0,110
Strasbourg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,2,1,0,1,0,0,1,4,1,0,0,0,0,8,0,0,1,0,0,0,9,0,1,11,2,0,1,9,2,1,1,1,0,10,1,4,2,0,1,0,1,0,0,0,82
Cannes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,6,16,1,1,0,2,3,1,1,0,0,0,0,2,1,1,0,1,4,0,0,0,55
Mont Saint-Michel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,0,0,0,0,5,0,0,2,23,0,0,0,56
Loire Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20
French Alps(France),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Vienna,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,4,0,0,0,3,0,0,4,14,0,0,4,0,4,10,4,0,0,10,2,38,3,0,0,1,1,0,14,0,2,4,0,0,3,16,13,2,9,0,4,2,1,0,0,0,0,1,6,0,0,0,187
Salzburg,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,7,0,0,1,2,0,0,0,0,0,3,2,3,0,0,0,7,0,0,0,2,0,0,3,0,4,6,3,0,6,2,11,1,6,0,0,12,2,0,1,10,0,5,0,0,0,0,105
Innsbruck,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,1,0,1,0,0,0,1,1,2,0,0,0,8,0,0,0,0,0,0,4,1,1,2,5,0,4,2,27,0,1,0,1,1,2,0,4,1,0,0,0,0,0,0,85
Hallstatt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,13
